movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20131001,프리버즈: 밍쿠와 찌아의 도시 대탈출,44650,2013-09-17,아르헨티나,다니엘 드 필립포,,마리아노 마르티네즈,루이사나 로필라토,김민국,애니메이션|어드벤처,213,74,전체관람가,,13
20000153,애나벨 청 스토리,,2000-04-29,캐나다,고프 루이스,,애나벨,,,다큐멘터리,,86,18세관람가,,12
20140881,자이언트 몽키,1108,2014-08-27,미국,브루스 데이비슨,,배리 윌리엄스,,,스릴러|SF|액션,20,89,12세이상관람가,,11
20040726,비키퍼,239,2004-10-27,그리스,테오 앙겔로풀로스,헬레닉라디오&텔레비전,디노스 일리오포로스,마르첼로 마스트로얀니,,드라마,1,120,18세관람가,,8
20141370,큐브: 예스 오어 노,54,2014-09-11,이탈리아,엔리코 클레리코 나시노,,존 브라더튼,엘렌 홀맨,가브리엘 마이어스,스릴러,1,102,15세이상관람가,,11
20134069,씬 시티: 다크히어로의 부활,83182,2014-09-11,미국,프랭크 밀러,,조셉 고든 레빗,에바 그린,제시카 알바,액션|범죄|스릴러,345,102,청소년관람불가,"씬 시티 3,씬 시티",11
20140521,배드 키즈 고우 투 헬,10,2014-09-11,미국,매튜 스프라들린,,주드 넬슨,벤 브로우더,차넬 라이언,스릴러|공포(호러),1,92,청소년관람불가,,11
20148997,동경가족,31575,2014-07-31,일본,야마다 요지,,하시즈메 이사오,요시유키 카즈코,츠마부키 사토시,가족|드라마,45,146,전체관람가,"왓 어 원더풀 패밀리! 3: 마이 와이프, 마이 라이프,가족은 괴로워2,동경가족: 두 번째 이야기",10
20140563,명검,1091,2014-09-04,홍콩,담가명,,정소추,진기기,서소강,스릴러,20,89,15세이상관람가,,13
20140930,바이올렛 앤 데이지,54,2014-09-04,미국,제프리 플레쳐,,시얼샤 로넌,알렉시스 블레델,제임스 갠돌피니,액션|스릴러,1,88,청소년관람불가,,13
